Failure category,S,D,Scoring rationale
Stall event,9,5,"Unstable flow or combustion manifestation with possible surge, thrust loss, shutdown or secondary damage; manifestation is evident but precursors may be incompletely represented in narrative SDR data."
Fan blade issue,10,7,"Fan-blade damage can have catastrophic downstream consequences; precursor fatigue or damage may require targeted inspection and may be difficult to identify before manifestation."
Vibration issue,7,3,"Abnormal vibration can indicate rotating-system distress but is generally observable through cockpit indications, monitoring systems or maintenance diagnostics."
Compressor issue,8,6,"Compressor anomalies may cause performance loss, stall or surge, shutdown or secondary damage; underlying conditions may require diagnostics or inspection."
Fuel pump failure,7,5,"Fuel-delivery component failure may impair thrust availability or dispatch reliability; detection may require pressure or flow indications and troubleshooting."
Fuel leak,8,4,"Fuel leakage is safety-significant because of flammable-fluid exposure, although many leaks are externally observable or inspection-detectable."
Sensor fault,5,3,"Instrumentation or monitoring faults affect system awareness but are often indicated by built-in tests, cockpit messages or maintenance diagnostics."
Crack indication,8,8,"Cracking indicates structural or material degradation; growth may be hidden, localized or dependent on special inspection access."
Oil pressure issue,7,4,"Lubrication-pressure anomalies can lead to engine damage but are often indicated by warnings or maintenance indications."
Turbine issue,9,7,"Hot-section distress may produce severe thermal or mechanical damage; direct inspection access is limited and degradation may progress between checks."
Oil leak,6,4,"Lubrication leakage is operationally important but is often visible or identifiable during servicing or inspection."
Oil quantity issue,5,3,"Oil-quantity discrepancies are maintenance-significant but are normally detectable through indications, servicing records or routine checks."
Engine shutdown,8,5,"An engine shutdown is a serious operational outcome rather than a single causal mechanism; the underlying precursor requires record-level causal coding."
Bearing failure,8,7,"Bearing degradation can produce severe secondary damage and internal progression may be difficult to identify without targeted monitoring or inspection."
Fuel pressure issue,6,4,"Fuel-pressure anomalies may affect delivery or engine response and are normally moderately detectable through pressure indications and troubleshooting."
